Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7214934676069305606,8 preguntas con Juli ?? #julianalvarez #adidas #football #argentina ,2023-03-26 15:11,video,51,2935372,44.39,2740663,45.24,36330,33.73,194709,5238,9.68,21819704,13.45285,original sound adidas,,julianalvarez adidas football argentina,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7236776583111970074,comment ur fav #blackpink #adidas ,2023-05-24 11:49,video,12,1932528,28.88,1783889,29.44,22203,20.61,148639,11100,20.52,12411060,15.57101,original sound adidas,,blackpink adidas,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7215281332274941190,Replying to @Eric Garcia?´∂?èª?òª?íô?§Ô∏è??What can?ôt Jude do? ?òÆ?çüí?#judebellingham #adidas#guesstheplayer #football ,2023-03-27 13:36,video,34,1578594,23.41,1473505,24.32,24861,23.08,105089,6027,11.14,9283774,17.0038,original sound adidas,,judebellingham adidas guesstheplayer football,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7295798432323620128,OMG?§ò #korn #adidas ,2023-10-30 13:04,video,5,974992,14.07,890180,14.69,17926,16.64,84812,7703,14.24,4905428,19.87578,original sound adidas,,korn adidas,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7296084041370062112,just¬†another¬†year¬†at¬†the¬†office.¬†???íç?íç?íç?íç?íç?íç?íç?íç??#messi #goat #ballondor #adidas,2023-10-31 7:32,video,33,945846,13.62,883872,14.59,23424,21.75,61974,8806,16.28,5173161,18.28371,original sound adidas,,messi goat ballondor adidas,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7257560538329238810,maybe Jenna should be playing in the FIFAWWC #jennaortega #fifawwc #womensworldcup ,2023-07-19 12:01,video,16,629510,8.73,570369,9.41,19717,18.3,59141,7174,13.26,4735092,13.29457,original sound adidas,,jennaortega fifawwc womensworldcup,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7256020693710540059,Sorry Stormzy Dec?ôs a Gunner #arsenal #transfer #declanrice #adidas  ,2023-07-15 8:26,video,20,616572,8.53,590161,9.74,12509,11.61,26411,1583,2.92,4750286,12.97968,original sound adidas,,arsenal transfer declanrice adidas,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7231594739479432475,Replying to @Dar ???´∂?èª Pedri #pedri #adidas ,2023-05-10 12:41,video,14,520388,7.04,474042,7.82,20021,18.59,46346,3413,6.31,4071311,12.78183,original sound adidas,,pedri adidas,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7213442008009133317,the only video you need to watch today ?? #aronpiper #tourbus #tourbustour #adidas #concert ,2023-03-22 14:39,video,71,487456,6.53,462231,7.63,15106,14.02,25225,812,1.5,5712901,8.53255,original sound adidas,,aronpiper tourbus tourbustour adidas concert,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7295867471926414624,THE GR?êÑ?êà?êÜ?êá?êìEST ?êê #messi #ballondor #goat #adidas,2023-10-30 17:32,video,12,480930,6.43,451787,7.45,11680,10.84,29143,4765,8.81,2635559,18.24774,Getting Better Danilo Stankovic,,messi ballondor goat adidas,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7213813164507516165,which is your favorite? #worldcup #football #adidas ,2023-03-23 14:39,video,15,431746,5.67,403677,6.66,11515,10.69,28069,1270,2.34,2537706,17.01324,Low Down venbee & Dan Fable,,worldcup football adidas,
adidas,https://www.tiktok.com/@adidas,http://tiktok.com/@adidas/video/7271262658425326880,Jude ya es casi espa√±ol ?á™?á∏ #judebellingham #realmadrid #madridistas #espa√±a #adidas ,2023-08-25 10:12,video,16,424772,5.56,390336,6.44,20473,19.01,34436,3228,5.97,2631041,16.14464,original sound adidas,,judebellingham realmadrid madridistas espa√±a adidas,
